  ,Reg #,AC #,Delivery Yr,SEAT MAP,Configuration
20S,A320,Over,water,,Non have ETOPS
739ER,N27421 ,3421 ,2008 ,Slimline,20F/45E+/114Y
739ER,N37422 ,3422 ,2008 ,Slimline,20F/45E+/114Y
739ER,N39423 ,3423 ,2008 ,Slimline,20F/45E+/114Y
739ER,N38424 ,3424 ,2008 ,Slimline,20F/42E+/117Y
739ER,N75425 ,3425 ,2008 ,Slimline,20F/45E+/114Y
739ER,N75426 ,3426,2008 ,Slimline,20F/45E+/114Y
739ER,N37427 ,3427 ,2008,Slimline,20F/45E+/114Y
739ER,N75428 ,3428 ,2008,Slimline,20F/45E+/114Y
739ER,N75429 ,3429 ,2008,Slimline,20F/45E+/114Y
739ER,N77430 ,3430 ,2009 ,Slimline,20F/45E+/114Y
739ER,N77431 ,3431 ,2009 ,Slimline,20F/45E+/114Y
739ER,N75432 ,3432 ,2009 ,Slimline,20F/45E+/114Y
739ER,N75433 ,3433 ,2009 ,Slimline,20F/45E+/114Y
739ER,N37434 ,3434 ,2009 ,Slimline,20F/45E+/114Y
739ER,N75435 ,3435 ,2009 ,Slimline,20F/45E+/114Y
739ER,N75436 ,3436 ,2009 ,Slimline,20F/45E+/114Y
739ER,N37437,3437,2009 ,Slimline,20F/45E+/114Y
739ER,N78438 ,3438 ,2009 ,Slimline,20F/45E+/114Y
739ER,N57439 ,3439 ,2009 ,Slimline,20F/45E+/114Y
739ER,N45440 ,3440 ,2009 ,Slimline,20F/45E+/114Y
739ER,N53441 ,3441 ,2009 ,Slimline,20F/45E+/114Y
739ER,N53442 ,3442 ,2009 ,Slimline,20F/42E+/117Y
739ER,N38443 ,3443 ,2010 ,Slimline ,20F/45E+/114Y
739ER,N36444 ,3444 ,2010,Slimline ,20F/45E+/114Y
 73L, , , , , 
739ER,N73445 ,3445 ,2011,Slimline Sky,20F/45E+/114Y
739ER,N38446 ,3446 ,2011,Slimline Sky,20F/45E+/114Y
739ER,N36447 ,3447 ,2012 ,NEXT,20F/45E+/114Y
739ER,N78448 ,3448 ,2012 ,Slimline Sky,20F/45E+/114Y
739ER,N81449 ,3449 ,2012 ,NEXT,20F/45E+/114Y
739ER,N39450 ,3450 ,2012 ,NEXT,20F/45E+/114Y
739ER,N38451 ,3451 ,2012,NEXT,20F/45E+/114Y
739ER,N68452 ,3452 ,2012,NEXT,20F/45E+/114Y
739ER,N68453 ,3453 ,2012,NEXT,20F/45E+/114Y
739ER,N38454 ,3454 ,2012,Slimline Sky,20F/39E+/120Y
739ER,N34455 ,3455 ,2012,NEXT,20F/45E+/114Y
739ER,N37456 ,3456 ,2012,Slimline Sky,20F/39E+/120Y
739ER,N28457 ,3457 ,2012,Slimline Sky,20F/39E+/120Y
739ER,N38458 ,3458 ,2012,Slimline Sky,20F/45E+/114Y
739ER,N38459 ,3459 ,2012,Slimline Sky,20F/39E+/120Y
739ER,N34460,3460,2012,Slimline Sky,20F/39E+/120Y
739ER,N39461,3461,2012,Slimline Sky,20F/39E+/120Y
739ER,N37462,3462,2012,Slimline Sky,20F/39E+/120Y
739ER,N39463,3463,2012,NEXT,20F/45E+/114Y
739ER,N37464,3464,2012,Slimline Sky,20F/39E+/120Y
73L, ,, , ,Below w/o
